COYOTEID,PAIRED,TISSUE,SECTION,SAMPLE,LOCATION,HABITAT,DATE,YEAR,MONTH,RESEARCHER,d13C,d15N,Perc.C,Perc.N,MANGE,WINTER,SEX,ADULT
RKCL21,YES,HAIR,TIP,54,urban,urban,NA,NA,NA,MM,-22.3,9.6,44.9,15.1,0,NA,F,1
RKCL22,YES,HAIR,BASE,55,urban,urban,2012-06-22,2012,6,MM,-24.9,10,49.2,11.6,1,1,F,1
RKCL22,YES,HAIR,TIP,56,urban,urban,2012-06-22,2012,6,MM,-24.2,9.6,49.2,14,1,1,F,1
RKCL23,YES,HAIR,ALL,57,urban,urban,2012-09-18,2012,9,MM,-22.5,8.4,48,14.8,1,0,M,0
RKCL24,YES,HAIR,ALL,58,urban,urban,2012-09-18,2012,9,MM,-22.7,8.2,47.4,15,1,0,M,0
KCL25,YES,HAIR,BASE,59,urban,urban,2009-01-27,2009,1,MM,-24,7,45.4,15.4,1,1,F,0
KCL25,YES,HAIR,TIP,60,urban,urban,2009-01-27,2009,1,MM,-24.1,7.2,46.5,15.4,1,0,F,0
KCL26,YES,HAIR,BASE,61,suburban,suburban,2009-02-26,2009,2,MM,-23.1,8.2,46.4,15.6,0,1,F,1
KCL26,YES,HAIR,TIP,62,suburban,suburban,2009-02-26,2009,2,MM,-23,8.2,44.1,14.9,0,0,F,1
KCL27,YES,HAIR,BASE,63,suburban,suburban,2009-02-26,2009,2,MM,-23.4,5.9,46.1,15.6,0,1,M,1
KCL27,YES,HAIR,TIP,64,suburban,suburban,2009-02-26,2009,2,MM,-23.3,5.9,45.7,15.4,0,0,M,1
KCL28,YES,HAIR,BASE,65,suburban,suburban,2009-02-26,2009,2,MM,-24.3,6.2,46,15.7,0,1,M,1
KCL28,YES,HAIR,TIP,66,suburban,suburban,2009-02-26,2009,2,MM,-24.3,6.3,46,15.3,0,0,M,1
KCL29,YES,HAIR,BASE,67,suburban,suburban,Winter 2013,2013,1,MM,-23.8,6.7,45.5,15.4,0,1,M,0
KCL29,YES,HAIR,TIP,68,suburban,suburban,Winter 2013,2013,1,MM,-23.9,6.7,46.4,15.5,0,0,M,0
KCL30,YES,HAIR,BASE,69,urban,urban,Winter 2013,2013,1,MM,-23.1,9.7,45.3,14.9,1,1,F,1
KCL30,YES,HAIR,TIP,70,urban,urban,Winter 2013,2013,1,MM,-23,9.9,45,15,1,0,F,1
KCL31,YES,HAIR,BASE,71,urban,urban,Winter 2013,2013,1,MM,-23.2,10,45.1,15.3,0,1,M,1
KCL31,YES,HAIR,TIP,72,urban,urban,Winter 2013,2013,1,MM,-23.3,10,46.2,15.3,0,0,M,1
KCL32,YES,HAIR,BASE,73,urban,urban,2009-01-19,2009,1,MM,-23.2,10.3,45.3,15.2,0,1,NA,1
KCL32,YES,HAIR,TIP,74,urban,urban,2009-01-19,2009,1,MM,-23.2,10.3,43.2,14.4,0,0,NA,1
KCL33,YES,HAIR,BASE,75,urban,urban,2009-01-16,2009,1,MM,-23.3,9.9,46.6,15.5,0,1,F,0
KCL33,YES,HAIR,TIP,76,urban,urban,2009-01-16,2009,1,MM,-23.4,9.9,46.6,15.5,0,0,F,0
KCL34,YES,HAIR,BASE,77,urban,urban,2009-04-12,2009,4,MM,-23.3,8.6,46.4,15.6,0,1,M,1
KCL34,YES,HAIR,TIP,78,urban,urban,2009-04-12,2009,4,MM,-23.5,8,46.3,15.3,0,0,M,1
